src	trg	nij	score
simple plan	the cab	3.685544221681539	0.23167041007292843
billy idol	simple minds	7.92388533750716	0.34198081303314143
billy idol	tommy james and the shondells	100.0	0.0
boys like girls	the cab	4.09366298654758	0.2541720540764453
blink-182	fall out boy	3.5421219901789764	0.33657823894842664
janis joplin	ten years after	10.371594720595148	0.3343169407352836
goo goo dolls	lifehouse (band)	7.658714483586239	0.20392408620017544
awolnation	twenty one pilots	4.347337694555867	0.2900195963416894
bad company	faces (band)	4.865184781951774	0.3306020230159257
small faces	the jam	3.549638174304864	0.34064395966129946
small faces	faces (band)	3.2484510763606336	0.23356144398789913
small faces	paul mccartney and wings	3.519429586736782	0.2826604133851759
bay city rollers	mitch ryder	5.706707180574014	0.2616405861770287
bay city rollers	the four seasons (band)	3.496796192119459	0.14711379167298455
blur (band)	the verve	3.753631086382648	0.2404148216596277
blur (band)	the jam	3.655229795280972	0.296963111535117
blur (band)	franz ferdinand (band)	3.8712062771325457	0.24909593148148523
sly and the family stone	steve winwood	7.081522235368301	0.32378308917638277
sly and the family stone	john mayer	6.537434371515036	0.302909385184729
sly and the family stone	canned heat	7.116439284266837	0.3251024537984821
sonic youth	everclear (band)	4.787680708974972	0.32496050430292767
imagine dragons	mumford & sons	5.134954975469636	0.33571992539922013
talking heads	crash test dummies	100.0	0.0
talking heads	franz ferdinand (band)	5.628616036162069	0.2808218944080173
jerry lee lewis	chubby checker	3.59001033037745	0.20750323877081
jerry lee lewis	bill haley & his comets	4.145355435304955	0.2624173092830442
jerry lee lewis	bo diddley	3.510691059943465	0.34936588492361265
glenn frey	little river band	6.157252055619174	0.335033544620022
roy orbison	the everly brothers	2.628274084723367	0.33093621812973106
roy orbison	duane eddy	3.5711670157837694	0.33100701957108813
chubby checker	fats domino	4.757247131009395	0.2664634958633615
chubby checker	bill haley & his comets	3.1670937445715075	0.1851609739246607
the everly brothers	buddy holly	3.7522334725101	0.34391709371879287
the everly brothers	ritchie valens	2.9877620488869363	0.24834355979229272
simple minds	bryan ferry	4.153243953337652	0.3288280848201932
bo diddley	george thorogood	8.212844625778047	0.27943663942837094
bo diddley	ritchie valens	3.627792574124637	0.29356435744934317
joe cocker	george thorogood	9.983655363463232	0.3310495128236447
john mellencamp	the dave clark five	4.861174480109315	0.30999759330335797
rainbow (rock band)	the outfield	4.484508628270662	0.26871485074488366
john mayall & the bluesbreakers	john mayall	3.075359829638448	0.24453927476829074
muse (band)	kaiser chiefs	5.870899796308324	0.30785961397778605
highly suspect	catfish and the bottlemen	8.85022674431249	0.34155956095652984
dropkick murphys	flogging molly	4.812521631298001	0.2875951332275488
mumford & sons	keane (band)	4.199174265263705	0.3132722533292298
blondie (band)	franz ferdinand (band)	5.028002030392964	0.3113951233118156
the pretenders	ub40	9.55809366309827	0.31240006544231924
the go-go's	the b-52's	9.260676109622144	0.2440167858797463
the go-go's	the bangles	6.2285734573336144	0.3262543625613663
pat benatar	steve miller band	5.693947625032772	0.3389182565949841
bloodhound gang	bowling for soup	20.4786108520672	0.2019976911282635
the verve	the stone roses	3.1095809411533653	0.20317825949807156
dire straits	bryan ferry	4.472817746083434	0.3495024644118845
dire straits	ub40	9.782050028581732	0.31870424551985155
duane eddy	traveling wilburys	2.6981497875272837	0.23028395435480387
john fogerty	the dave clark five	4.669823037475339	0.2996402400885102
the all-american rejects	flogging molly	5.827186456600928	0.33799256824574275
starset	thirty seconds to mars	4.999700225066688	0.33143592294837054
skillet (band)	flyleaf (band)	2.119068415483537	0.20446250690793677
the killers	travis (band)	4.478156116031644	0.3299910947948892
melissa etheridge	sheryl crow	5.456275117918931	0.348304047112745
steve winwood	traffic (band)	4.11566273646188	0.3333881773670816
the big bopper	ritchie valens	8.031438436752165	0.27319728226126616
cake (band)	modest mouse	4.4463011562523445	0.24043474912915253
